Customer_ID,Customer _Name,Age,Gender,City,Country,Platform,Text,Date,Time
A1060,Pranit,76,Male,Chicago,USA,Twitter,resorted to eating Mickey Ds ALONE.,22-Mar-25,00:00
A1061,Bhavna,53,Female,New York,USA,Twitter,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,22-Mar-25,00:00
A1062,Diya,51,Female,Dallas,USA,Twitter,,,
A1063,Viraj,36,Male,New York,USA,Twitter,,,
A1064,Devika,29,Female,Boston,USA,Twitter,,,
A1065,Ganga,32,Female,New York,USA,Twitter,,,
A1066,Lavanya,24,Female,Chicago,USA,Twitter,,,
A1067,Rishit,25,Male,New York,USA,Twitter,,,
A1068,Rushil,31,Male,Louisville,USA,Twitter,,,
A1069,Sadhil,40,Male,New York,USA,Twitter,,,
A1070,Sarthak,31,Male,Dallas,USA,Twitter,,,
A1071,Shivansh,30,Male,New York,USA,Twitter,,,
A1072,Taarush,29,Male,New York,USA,Twitter,,,
A1073,Durga,27,Female,Dallas,USA,Twitter,Guess what? mom adopted a kitty today (11 months) His name is Corky,19-Mar-25,16:39
A1074,Dev,25,Male,Boston,USA,Twitter,,,
A1075,Hemant,62,Male,New York,USA,Twitter,,,
A1076,Deepak,39,Male,Louisville,USA,Twitter,,,
A1077,Joseph,42,Male,Boston,USA,Twitter,,,
A1078,Mary,59,Female,New York,USA,Twitter,,,
A1079,Mohan,57,Male,New York,USA,Twitter,,,
A1080,Aditi,45,Female,Dallas,USA,Twitter,,,
A1081,Mohineen,53,Male,New York,USA,Twitter,,,
A1082,Ahana,34,Female,Chicago,USA,Twitter,,,
A1083,Amrita,65,Female,Dallas,USA,Twitter,,,
A1084,John,44,Male,Boston,USA,Twitter,,,
A1085,Ushman,36,Male,Boston,USA,Twitter,,,
A1086,Shankar,39,Male,New York,USA,Twitter,,,
A1087,Anjali,23,Female,Louisville,USA,Twitter,,,
A1088,Anushka,25,Female,Chicago,USA,Twitter,,,
A1089,Aparna,61,Female,Chicago,USA,Twitter,,,
A1090,Girish,72,Male,New York,USA,Twitter,,,
A1091,Farheena,43,Female,Boston,USA,Twitter,,,
A1092,Aadvik,21,Male,Boston,USA,Twitter,,,
A1093,Falguni,22,Female,Chicago,USA,Twitter," soooooo wish i could, but im in school and myspace is completely blocked",22-Mar-25,12:00
A1094,Aarav,41,Male,Boston,USA,Twitter,,,
A1095,Iniyan,45,Male,New York,USA,Twitter,,,
A1096,Vanmathi ,36,Female,Dallas,USA,Twitter,,,
A1097,Kannan,42,Male,Dallas,USA,Twitter,,,
A1098,Murthy,51,Male,Boston,USA,Twitter, Why do I have to enter my registration details every time I update?,22-Mar-25,14:33
A1099,Senthil,37,Male,New York,USA,Twitter,,,
A1100,Arun,47,Male,New York,USA,Twitter,,,
