Customer_ID,Customer _Name,Age,Gender,City,Country,Education,Job, Incomeperyear , Expense per year ,Interests,Preferences
A1052,Ivaan,64,Male,Boston,USA,Masters Degree,Teacher," 1,56,000.00 "," 1,41,000.00 ","Family, Vacation, Travel","Credit Card, Bond"
A1053,Krishav,31,Male,Boston,USA,Masters Degree,Software Engineer," 1,32,080.00 "," 1,08,400.00 ","Education, Training, Travel","Fixed Deposit, Bond"
A1054,Twisha,43,Female,New York,USA,Diploma,Business," 1,67,032.00 "," 1,00,600.00 ","Money Management, Business, Family, Kids","Fixed Income, Insurance"
A1055,Viha,21,Female,New York,USA,Bachelor degree,Student," 57,343.00 "," 22,000.00 ","Business, Real Estate, Investment","Stock Market, Bond, Wealth Management"
A1056,Vihana,30,Female,New York,USA,Masters Degree,Software Engineer," 1,98,032.00 "," 1,12,000.00 ","Travel, Savings, Family","Tax savings, Mutual Fund"
A1057,Naksh,42,Male,New York,USA,Bachelor degree,Business," 1,32,080.00 "," 1,08,400.00 ",Money Management,"Small Savings, Mortgage"
A1058,Nimit,56,Male,Dallas,USA,Bachelor degree,Sales and Marketing," 1,67,032.00 "," 1,00,600.00 ",Investements,"Medical Insurance, Stock Market, Bond"
A1059,Nirved,34,Male,Chicago,USA,Masters Degree,Sales and Marketing," 1,57,343.00 "," 96,000.00 ","Business, Management, Investments","Bonds, Money Market"
A1060,Pranit,76,Male,Chicago,USA,Bachelor degree,Business," 1,98,032.00 "," 1,12,000.00 ","Family, Vacation, Travel","Credit Card, Bond"
A1061,Bhavna,53,Female,New York,USA,Bachelor degree,Teacher," 1,32,080.00 "," 1,08,400.00 ","Education, Training, Travel","Fixed Deposit, Bond"
A1062,Diya,51,Female,Dallas,USA,Bachelor degree,Business," 1,67,032.00 "," 1,00,600.00 ","Money Management, Business, Family, Kids","Fixed Income, Insurance"
A1063,Viraj,36,Male,New York,USA,Bachelor degree,Software Engineer," 1,57,343.00 "," 96,000.00 ","Food, Vacation, Travel","Discounts, Credit Card"
A1064,Devika,29,Female,Boston,USA,Masters Degree,Business," 1,56,000.00 "," 1,08,000.00 ","Gaming, Gadgets","Crypto, Stock Trading, Forex"
A1065,Ganga,32,Female,New York,USA,Bachelor degree,Sales and Marketing," 1,56,000.00 "," 1,41,000.00 ","House, Kids Education, Family","Medical Insurance, Fixed Deposit, Mutual Fund"
A1066,Lavanya,24,Female,Chicago,USA,Bachelor degree,Business," 2,18,888.00 "," 1,00,908.00 ","Motor Bikes, Gadgets","Medical Insurance, Term Insurance"
A1067,Rishit,25,Male,New York,USA,Masters Degree,Banker," 1,38,000.00 "," 96,000.00 ","Share Market, Investment","Equity Market, Derivatives"
A1068,Rushil,31,Male,Louisville,USA,Bachelor degree,Investor," 1,63,080.00 "," 1,04,000.00 ",Investements,"Medical Insurance, Stock Market, Bond"
A1069,Sadhil,40,Male,New York,USA,Masters Degree,Software Engineer," 1,98,032.00 "," 1,12,000.00 ","Business, Management, Investments","Bonds, Money Market"
A1070,Sarthak,31,Male,Dallas,USA,Bachelor degree,Software Engineer," 1,32,080.00 "," 1,08,400.00 ","Family, Vacation, Travel","Credit Card, Bond"
A1071,Shivansh,30,Male,New York,USA,Diploma,Teacher," 1,67,032.00 "," 1,00,600.00 ","Business, Real Estate, Investment","Stock Market, Bond, Wealth Management"
A1072,Taarush,29,Male,New York,USA,Bachelor degree,Software Engineer," 1,57,343.00 "," 96,000.00 ","Travel, Savings, Family","Tax savings, Mutual Fund"
A1073,Durga,27,Female,Dallas,USA,Bachelor degree,Business," 1,24,435.00 "," 87,004.00 ",Money Management,"Small Savings, Mortgage"
A1074,Dev,25,Male,Boston,USA,Masters Degree,Business," 2,17,765.00 "," 1,76,333.00 ","Motor Bikes, Gadgets","Medical Insurance, Term Insurance"
A1075,Hemant,62,Male,New York,USA,Masters Degree,Writer," 2,10,016.00 "," 78,060.00 ","Share Market, Investment","Equity Market, Derivatives"
A1076,Deepak,39,Male,Louisville,USA,Masters Degree,Business," 1,04,000.00 "," 1,00,600.00 ",Investements,"Medical Insurance, Stock Market, Bond"
A1077,Joseph,42,Male,Boston,USA,Masters Degree,Business," 1,67,334.00 "," 1,00,600.00 ","Business, Management, Investments","Bonds, Money Market"
A1078,Mary,59,Female,New York,USA,Bachelor degree,Business," 1,49,887.00 "," 1,00,600.00 ","Family, Vacation, Travel","Credit Card, Bond"
A1079,Mohan,57,Male,New York,USA,Bachelor degree,Business," 2,11,109.00 "," 1,45,222.00 ","Business, Real Estate, Investment","Stock Market, Bond, Wealth Management"
A1080,Aditi,45,Female,Dallas,USA,Bachelor degree,Banker," 1,44,000.00 "," 1,31,500.00 ","Travel, Savings, Family","Tax savings, Mutual Fund"
A1081,Mohineen,53,Male,New York,USA,Diploma,Banker," 1,38,000.00 "," 1,08,000.00 ",Money Management,"Small Savings, Mortgage"
A1082,Ahana,34,Female,Chicago,USA,Bachelor degree,Business," 1,23,221.00 "," 1,00,600.00 ","Business, Management, Investments","Bonds, Money Market"
A1083,Amrita,65,Female,Dallas,USA,Bachelor degree,Business," 23,74,384.00 "," 4,36,003.00 ","Family, Vacation, Travel","Credit Card, Bond"
A1084,John,44,Male,Boston,USA,Bachelor degree,Business," 1,89,005.00 "," 1,00,600.00 ","Education, Training, Travel","Fixed Deposit, Bond"
A1085,Ushman,36,Male,Boston,USA,Diploma,Software Engineer," 1,04,080.00 "," 7,60,000.00 ","Money Management, Business, Family, Kids","Fixed Income, Insurance"
A1086,Shankar,39,Male,New York,USA,Bachelor degree,Business," 6,30,070.00 "," 2,53,809.00 ","Food, Vacation, Travel","Discounts, Credit Card"
A1087,Anjali,23,Female,Louisville,USA,Diploma,Business," 1,04,000.00 "," 64,000.00 ","Gaming, Gadgets","Crypto, Stock Trading, Forex"
A1088,Anushka,25,Female,Chicago,USA,Bachelor degree,Business," 1,67,334.00 "," 54,000.00 ","House, Kids Education, Family","Medical Insurance, Fixed Deposit, Mutual Fund"
A1089,Aparna,61,Female,Chicago,USA,Bachelor degree,Business," 1,49,887.00 "," 1,00,600.00 ","Motor Bikes, Gadgets","Medical Insurance, Term Insurance"
A1090,Girish,72,Male,New York,USA,Bachelor degree,Investor," 37,88,623.00 "," 9,20,000.00 ","Share Market, Investment","Equity Market, Derivatives"
A1091,Farheena,43,Female,Boston,USA,Masters Degree,Banker," 3,40,000.00 "," 1,68,000.00 ",Investements,"Medical Insurance, Stock Market, Bond"
A1092,Aadvik,21,Male,Boston,USA,Diploma,Student," 38,000.00 "," 42,008.00 ","Business, Management, Investments","Bonds, Small Saving"
A1093,Falguni,22,Female,Chicago,USA,Bachelor degree,Student," 44,000.00 "," 69,883.00 ","Family, Education, Travel, Food","Credit Card, Bond, Discounts"
A1094,Aarav,41,Male,Boston,USA,Bachelor degree,Banker," 1,56,000.00 "," 1,08,000.00 ","Gaming, Gadgets","Crypto, Stock Trading, Forex"
A1095,Iniyan,45,Male,New York,USA,Masters Degree,Banker," 1,56,000.00 "," 1,41,000.00 ","House, Kids Education, Family","Medical Insurance, Fixed Deposit, Mutual Fund"
A1096,Vanmathi�,36,Female,Dallas,USA,Bachelor degree,Teacher," 3,21,001.00 "," 1,85,330.00 ","Motor Bikes, Gadgets","Medical Insurance, Term Insurance"
A1097,Kannan,42,Male,Dallas,USA,Masters Degree,Business," 1,23,221.00 "," 1,10,889.00 ","Share Market, Investment","Equity Market, Derivatives"
A1098,Murthy,51,Male,Boston,USA,Masters Degree,Business," 1,63,22,309.00 "," 3,40,000.00 ","Business, Real Estate, Investment","Stock Market, Bond, Wealth Management"
A1099,Senthil,37,Male,New York,USA,Bachelor degree,Business," 1,97,000.00 "," 1,24,000.00 ","Travel, Savings, Family","Tax savings, Mutual Fund"
A1100,Arun,47,Male,New York,USA,Bachelor degree,Business," 1,27,600.00 "," 1,32,000.00 ","Money Management, Family, Medial","Small Savings, Mortgage, Medical Insurance, Term Insurance"
